q_id,tam_construct,scale_type,is_reverse_coded,attribute_type,requires_lived_exp,avg_js_human_syn,avg_js_cross,validity_class,construct,js_claude,js_gpt4
q4_1,behavioral_intention,scale_agree,False,functional,False,0.3755934785760461,0.0822515328328836,genuine_llm_knowledge_gap,behavioral_intention,0.3746780608767661,0.3765088962753261
q4_2,behavioral_intention,scale_agree,False,functional,False,0.4079821231474219,0.0924875343313452,genuine_llm_knowledge_gap,behavioral_intention,0.4101483671361352,0.4058158791587086
q4_3,behavioral_intention,scale_agree,False,functional,False,0.2768223153420412,0.0546469957530558,genuine_llm_knowledge_gap,behavioral_intention,0.27246721409549,0.2811774165885924
q4_4,behavioral_intention,scale_agree,False,functional,False,0.5639006774288022,0.0681102532646867,genuine_llm_knowledge_gap,behavioral_intention,0.580072006851807,0.5477293480057974
q4_5,behavioral_intention,scale_agree,False,functional,False,0.4682093081894283,0.2493269979971404,model_artifact,behavioral_intention,0.5516820297687551,0.3847365866101014
q4_6,behavioral_intention,scale_agree,False,functional,False,0.6175061297068362,0.1305532670240755,model_artifact,behavioral_intention,0.6387951376539606,0.5962171217597118
q4_7,behavioral_intention,scale_agree,False,functional,False,0.4096649621875498,0.1104998896401756,model_artifact,behavioral_intention,0.4366197955060801,0.3827101288690195
q5_1,perceived_usefulness,scale_agree,False,functional,False,0.2561458905216214,0.1810148477702237,model_artifact,perceived_usefulness,0.2222245809481096,0.2900672000951332
q5_2,perceived_usefulness,scale_agree,False,functional,False,0.2314624783815957,0.2348011194263288,model_artifact,perceived_usefulness,0.1962411573254617,0.2666837994377297
q5_3,perceived_usefulness,scale_agree,False,functional,False,0.4570547201350673,0.1496756135723722,model_artifact,perceived_usefulness,0.4695484951723366,0.4445609450977981
q5_4,perceived_usefulness,scale_agree,False,functional,False,0.4375612989854494,0.1498788403677468,model_artifact,perceived_usefulness,0.4537981499790576,0.4213244479918411
q5_5,perceived_usefulness,scale_agree,False,functional,False,0.2763325342677792,0.1503358556266763,model_artifact,perceived_usefulness,0.2773916568897263,0.2752734116458323
q5_6,perceived_usefulness,scale_agree,False,functional,False,0.459056281632936,0.1521791673155126,model_artifact,perceived_usefulness,0.4638334389470266,0.4542791243188452
q5_7,perceived_usefulness,scale_agree,False,functional,False,0.5076988836809643,0.282242125296946,model_artifact,perceived_usefulness,0.5733511461190747,0.4420466212428539
q5_8,perceived_usefulness,scale_agree,False,functional,False,0.3122830562867684,0.1100462306585076,model_artifact,perceived_usefulness,0.3435846704026586,0.2809814421708781
q7_1,ease_of_use,scale_useful,False,functional,True,0.253696299637884,0.2185287894299697,model_artifact,ease_of_use,0.2687316769006426,0.2386609223751253
q7_2,ease_of_use,scale_useful,False,functional,True,0.3583749855112477,0.2228041355526508,model_artifact,ease_of_use,0.3867763628297966,0.3299736081926987
q7_3,ease_of_use,scale_useful,False,functional,True,0.221869527391436,0.2277896549398532,model_artifact,ease_of_use,0.1942991797335591,0.2494398750493128
q7_4,ease_of_use,scale_useful,False,functional,True,0.4240898541240835,0.1905825718691332,model_artifact,ease_of_use,0.4591108734510281,0.389068834797139
q7_5,ease_of_use,scale_useful,False,functional,True,0.4290469385805276,0.198542579347834,model_artifact,ease_of_use,0.4599510774489442,0.398142799712111
q7_6,ease_of_use,scale_useful,True,functional,True,0.4841143147509553,0.2429249279325137,model_artifact,ease_of_use,0.4831614268939192,0.4850672026079914
q9_1,ai_capability,scale_likely,False,functional,False,0.3002897275684586,0.0802163903149536,genuine_llm_knowledge_gap,ai_capability,0.3075414266269211,0.2930380285099962
q9_2,ai_capability,scale_likely,False,functional,False,0.4395314816392898,0.303994137371976,model_artifact,ai_capability,0.5233796933328848,0.3556832699456948
q9_3,ai_capability,scale_likely,False,functional,False,0.5288117459931441,0.392097013581274,model_artifact,ai_capability,0.5882266145273207,0.4693968774589673
q10_1,attitude,scale_agree,False,emotional,True,0.3190890510534474,0.0371083614616009,genuine_llm_knowledge_gap,attitude,0.3203825066664669,0.3177955954404279
q10_2,attitude,scale_agree,False,emotional,True,0.4938259392905789,0.087726108258099,genuine_llm_knowledge_gap,attitude,0.5035309134988559,0.4841209650823019
q10_3,attitude,scale_agree,False,emotional,True,0.5476489396392792,0.1974479478277667,model_artifact,attitude,0.5810228209377719,0.5142750583407865
q10_4,attitude,scale_agree,False,emotional,True,0.3813300048903438,0.2074107283834996,model_artifact,attitude,0.3941313542677551,0.3685286555129325
