q_id,p1,p2,p3,p4,p5,n_valid,mean,std,construct,scale_type
q4_1,0.04170616113744076,0.08530805687203792,0.18293838862559242,0.3744075829383886,0.31563981042654027,1055,3.83696682464455,1.0907400016824669,behavioral_intention,scale_agree
q4_2,0.04265402843601896,0.08436018957345971,0.16966824644549763,0.35165876777251187,0.35165876777251187,1055,3.885308056872038,1.1093539989354169,behavioral_intention,scale_agree
q4_3,0.034123222748815164,0.07772511848341232,0.17819905213270143,0.3800947867298578,0.3298578199052133,1055,3.8938388625592415,1.0563398340391372,behavioral_intention,scale_agree
q4_4,0.04454976303317536,0.07677725118483412,0.1933649289099526,0.3924170616113744,0.29289099526066353,1055,3.8123222748815166,1.0771209651008171,behavioral_intention,scale_agree
q4_5,0.046445497630331754,0.07772511848341232,0.1924170616113744,0.3943127962085308,0.2890995260663507,1055,3.8018957345971565,1.0827245346628644,behavioral_intention,scale_agree
q4_6,0.04549763033175355,0.08056872037914692,0.1848341232227488,0.36113744075829385,0.32796208530805687,1055,3.8454976303317534,1.1053673235901236,behavioral_intention,scale_agree
q4_7,0.03601895734597156,0.08341232227488152,0.18293838862559242,0.38957345971563984,0.3080568720379147,1055,3.8502369668246446,1.0618167814551553,behavioral_intention,scale_agree
q5_1,0.055924170616113746,0.09004739336492891,0.15355450236966825,0.4,0.3004739336492891,1055,3.799052132701422,1.130649026947482,perceived_usefulness,scale_agree
q5_2,0.03601895734597156,0.09004739336492891,0.190521327014218,0.35165876777251187,0.33175355450236965,1055,3.853080568720379,1.0891161955596915,perceived_usefulness,scale_agree
q5_3,0.04549763033175355,0.06919431279620854,0.1848341232227488,0.3753554502369668,0.3251184834123223,1055,3.865402843601896,1.0859143017613753,perceived_usefulness,scale_agree
q5_4,0.04454976303317536,0.08151658767772511,0.1924170616113744,0.37725118483412323,0.3042654028436019,1055,3.815165876777251,1.091174421698404,perceived_usefulness,scale_agree
q5_5,0.04075829383886256,0.08625592417061612,0.1943127962085308,0.36492890995260663,0.3137440758293839,1055,3.824644549763033,1.0910013338842235,perceived_usefulness,scale_agree
q5_6,0.04549763033175355,0.08151658767772511,0.16587677725118483,0.3914691943127962,0.31563981042654027,1055,3.8502369668246446,1.0935108928701651,perceived_usefulness,scale_agree
q5_7,0.04739336492890995,0.09004739336492891,0.17725118483412322,0.3914691943127962,0.2938388625592417,1055,3.794312796208531,1.1030258008070204,perceived_usefulness,scale_agree
q5_8,0.03317535545023697,0.0947867298578199,0.1791469194312796,0.3848341232227488,0.3080568720379147,1055,3.8398104265402844,1.0678712984895997,perceived_usefulness,scale_agree
q7_1,0.03696682464454976,0.09194312796208531,0.17535545023696683,0.37345971563981045,0.3222748815165877,1055,3.8521327014218008,1.0850601385154912,ease_of_use,scale_useful
q7_2,0.04834123222748815,0.08341232227488152,0.16872037914691942,0.3819905213270142,0.3175355450236967,1055,3.83696682464455,1.1088561442377103,ease_of_use,scale_useful
q7_3,0.04834123222748815,0.09004739336492891,0.18293838862559242,0.34312796208530805,0.3355450236966825,1055,3.827488151658768,1.133667472807273,ease_of_use,scale_useful
q7_4,0.054976303317535544,0.06919431279620854,0.16208530805687205,0.376303317535545,0.33744075829383885,1055,3.8720379146919433,1.1206722020820212,ease_of_use,scale_useful
q7_5,0.03886255924170616,0.07772511848341232,0.18293838862559242,0.35355450236966823,0.3469194312796208,1055,3.8919431279620853,1.086261243082714,ease_of_use,scale_useful
q7_6,0.04075829383886256,0.06445497630331753,0.1876777251184834,0.390521327014218,0.3165876777251185,1055,3.8777251184834123,1.0559430348600305,ease_of_use,scale_useful
q9_1,0.04549763033175355,0.07488151658767772,0.1981042654028436,0.37725118483412323,0.3042654028436019,1055,3.8199052132701423,1.0863051203673686,ai_capability,scale_likely
q9_2,0.05023696682464455,0.08246445497630332,0.18862559241706162,0.3687203791469194,0.30995260663507107,1055,3.8056872037914693,1.1153431738367958,ai_capability,scale_likely
q9_3,0.04549763033175355,0.0909952606635071,0.16587677725118483,0.36777251184834125,0.3298578199052133,1055,3.8454976303317534,1.1164698167660412,ai_capability,scale_likely
q10_1,0.04170616113744076,0.07677725118483412,0.16777251184834124,0.4018957345971564,0.3118483412322275,1055,3.865402843601896,1.0700720877805077,attitude,scale_agree
q10_2,0.03696682464454976,0.1004739336492891,0.15829383886255924,0.3819905213270142,0.3222748815165877,1055,3.8521327014218008,1.0929013235680232,attitude,scale_agree
q10_3,0.03981042654028436,0.09289099526066351,0.17819905213270143,0.36777251184834125,0.32132701421800947,1055,3.837914691943128,1.0973849424339281,attitude,scale_agree
q10_4,0.03317535545023697,0.07867298578199051,0.17819905213270143,0.4009478672985782,0.3090047393364929,1055,3.8739336492890994,1.0419262081824179,attitude,scale_agree
