q_id,avg_js_human_syn,avg_js_cross,validity_class,construct
q10_1,0.3190890510534474,0.03710836146160098,genuine_llm_knowledge_gap,attitude
q10_2,0.49382593929057894,0.08772610825809901,genuine_llm_knowledge_gap,attitude
q10_3,0.5476489396392792,0.1974479478277667,model_artifact,attitude
q10_4,0.38133000489034385,0.20741072838349964,model_artifact,attitude
q4_1,0.37559347857604614,0.08225153283288361,genuine_llm_knowledge_gap,behavioral_intention
q4_2,0.4079821231474219,0.09248753433134525,genuine_llm_knowledge_gap,behavioral_intention
q4_3,0.27682231534204127,0.054646995753055844,genuine_llm_knowledge_gap,behavioral_intention
q4_4,0.5639006774288022,0.0681102532646867,genuine_llm_knowledge_gap,behavioral_intention
q4_5,0.4682093081894283,0.24932699799714045,model_artifact,behavioral_intention
q4_6,0.6175061297068362,0.13055326702407552,model_artifact,behavioral_intention
q4_7,0.4096649621875498,0.11049988964017565,model_artifact,behavioral_intention
q5_1,0.25614589052162146,0.18101484777022378,model_artifact,perceived_usefulness
q5_2,0.23146247838159573,0.23480111942632886,model_artifact,perceived_usefulness
q5_3,0.45705472013506737,0.14967561357237222,model_artifact,perceived_usefulness
q5_4,0.4375612989854494,0.14987884036774687,model_artifact,perceived_usefulness
q5_5,0.27633253426777926,0.15033585562667637,model_artifact,perceived_usefulness
q5_6,0.459056281632936,0.15217916731551265,model_artifact,perceived_usefulness
q5_7,0.5076988836809643,0.282242125296946,model_artifact,perceived_usefulness
q5_8,0.3122830562867684,0.11004623065850766,model_artifact,perceived_usefulness
q7_1,0.253696299637884,0.21852878942996973,model_artifact,ease_of_use
q7_2,0.3583749855112477,0.22280413555265086,model_artifact,ease_of_use
q7_3,0.221869527391436,0.2277896549398532,model_artifact,ease_of_use
q7_4,0.42408985412408357,0.19058257186913322,model_artifact,ease_of_use
q7_5,0.42904693858052767,0.198542579347834,model_artifact,ease_of_use
q7_6,0.48411431475095534,0.2429249279325137,model_artifact,ease_of_use
q9_1,0.3002897275684586,0.08021639031495363,genuine_llm_knowledge_gap,ai_capability
q9_2,0.4395314816392898,0.30399413737197606,model_artifact,ai_capability
q9_3,0.5288117459931441,0.392097013581274,model_artifact,ai_capability
