model,conditioning_arm,q_id,js_human_arm,n_arm
gpt4,demo_plus_traits,q4_1,0.335098187331248,520
gpt4,demo_plus_traits,q4_2,0.36390738319394805,520
gpt4,demo_plus_traits,q4_3,0.27186239686,520
gpt4,demo_plus_traits,q4_4,0.5118171897387891,520
gpt4,demo_plus_traits,q4_5,0.3261040621460568,520
gpt4,demo_plus_traits,q4_6,0.5518842401100199,520
gpt4,demo_plus_traits,q4_7,0.3332816934113341,520
gpt4,demo_plus_traits,q5_1,0.3030220276487748,520
gpt4,demo_plus_traits,q5_2,0.27065396576080597,520
gpt4,demo_plus_traits,q5_3,0.39704091885237436,520
gpt4,demo_plus_traits,q5_4,0.37645432408631246,520
gpt4,demo_plus_traits,q5_5,0.29082023506054483,520
gpt4,demo_plus_traits,q5_6,0.39497352342689696,520
gpt4,demo_plus_traits,q5_7,0.3835914394676161,520
gpt4,demo_plus_traits,q5_8,0.2803237819418616,520
gpt4,demo_plus_traits,q7_1,0.31704733737816815,520
gpt4,demo_plus_traits,q7_2,0.3920197344147214,520
gpt4,demo_plus_traits,q7_3,0.3528444743749641,520
gpt4,demo_plus_traits,q7_4,0.40646888148398314,520
gpt4,demo_plus_traits,q7_5,0.4067001583710454,520
gpt4,demo_plus_traits,q7_6,0.4166974047251705,520
gpt4,demo_plus_traits,q9_1,0.2668431223780966,520
gpt4,demo_plus_traits,q9_2,0.2969000389787052,520
gpt4,demo_plus_traits,q9_3,0.3946772298539186,520
gpt4,demo_plus_traits,q10_1,0.2927405920969319,520
gpt4,demo_plus_traits,q10_2,0.4256226550126905,520
gpt4,demo_plus_traits,q10_3,0.46298182436687657,520
gpt4,demo_plus_traits,q10_4,0.333947972548703,520
gpt4,demo_only,q4_1,0.44004378778036957,520
gpt4,demo_only,q4_2,0.4644959740815558,520
gpt4,demo_only,q4_3,0.29316987481846657,520
gpt4,demo_only,q4_4,0.6035145114892171,520
gpt4,demo_only,q4_5,0.4719474311034686,520
gpt4,demo_only,q4_6,0.6578009132349928,520
gpt4,demo_only,q4_7,0.45858109549468057,520
gpt4,demo_only,q5_1,0.33598526816912794,520
gpt4,demo_only,q5_2,0.3197960221266454,520
gpt4,demo_only,q5_3,0.5314844084914839,520
gpt4,demo_only,q5_4,0.5081529039407613,520
gpt4,demo_only,q5_5,0.32217097670668304,520
gpt4,demo_only,q5_6,0.5445650381062322,520
gpt4,demo_only,q5_7,0.5334489662346661,520
gpt4,demo_only,q5_8,0.32690014834852216,520
gpt4,demo_only,q7_1,0.2566945474998518,520
gpt4,demo_only,q7_2,0.386228715284618,520
gpt4,demo_only,q7_3,0.27743973011217055,520
gpt4,demo_only,q7_4,0.43592615053801853,520
gpt4,demo_only,q7_5,0.45253472312194326,520
gpt4,demo_only,q7_6,0.6125682879828198,520
gpt4,demo_only,q9_1,0.35395034450964025,520
gpt4,demo_only,q9_2,0.4425388275858163,520
gpt4,demo_only,q9_3,0.5729995535407766,520
gpt4,demo_only,q10_1,0.36922683905856735,520
gpt4,demo_only,q10_2,0.5654195106084462,520
gpt4,demo_only,q10_3,0.5880328747441498,520
